x1	x2
16	55
27	10
48	8
48	2
5	47
36	48
24	4
19	55
43	8
22	38
37	39
43	12
41	15
6	0
48	3
48	9
1	24
18	29
38	28
37	45
2	39
43	46
21	36
23	7
33	40
26	28
32	25
37	51
5	2
49	6
23	37
38	1
26	3
21	5
36	13
19	10
45	31
0	37
13	45
43	0
8	29
26	30
28	56
15	20
30	29
25	35
6	2
13	28
8	54
25	28
17	40
2	53
26	49
2	28
1	52
47	18
34	53
12	42
9	7
4	42
31	1
23	42
36	38
38	44
9	42
2	34
3	45
30	6
47	30
43	24
29	56
21	30
38	30
46	0
48	27
40	21
48	10
2	22
30	8
40	51
2	16
42	21
33	19
34	43
27	41
43	3
17	4
27	50
32	18
9	47
23	33
20	48
20	30
26	21
17	50
32	47
25	33
19	23
23	38
0	32
30	48
32	44
44	43
25	52
36	52
20	4
29	14
32	26
11	23
4	19
26	6
33	14
9	46
27	46
13	23
31	24
41	29
30	13
2	12
27	14
0	46
29	34
34	33
37	50
14	22
1	23
43	29
47	26
38	36
12	22
3	3
29	22
10	31
28	46
24	10
43	45
15	43
45	10
27	31
4	22
36	43
30	42
14	28
13	32
29	31
22	34
4	23
15	19
29	36
35	55
49	32
47	31
10	9
49	22
22	35
18	0
28	50
37	41
0	22
33	20
14	47
38	34
31	38
18	19
5	51
9	10
46	44
16	48
2	13
10	11
0	6
24	19
25	16
48	14
21	56
31	47
10	35
24	38
45	38
25	42
27	13
42	32
18	50
38	54
3	39
16	30
34	19
44	49
36	37
37	9
10	5
28	16
34	27
7	38
32	41
21	42
39	39
46	24
2	40
26	23
3	11
47	10
29	8
4	25
2	51
7	6
8	56
42	8
38	24
38	45
10	39
3	25
26	33
14	8
48	35
37	23
33	41
11	50
44	16
26	22
41	16
32	16
25	38
28	20
16	46
49	9
42	31
6	46
21	32
11	0
12	50
31	31
41	47
9	5
24	3
47	49
39	0
39	8
17	30
29	21
12	15
45	8
24	41
17	17
5	54
34	30
14	52
34	48
11	21
14	46
18	2
39	54
47	43
13	10
31	19
46	40
17	0
34	17
6	14
14	24
11	28
0	30
22	39
36	20
27	53
42	46
18	46
0	3
0	44
14	25
6	33
5	22
40	22
7	35
16	22
31	54
9	50
27	15
23	4
3	13
18	32
31	14
8	45
48	22
39	34
40	50
18	34
35	38
24	30
27	36
49	17
12	11
3	48
0	34
11	39
32	20
45	46
7	47
14	34
23	29
30	38
15	49
42	28
28	0
1	13
19	30
5	40
37	17
2	19
7	14
37	42
8	14
21	43
38	32
49	8
1	11
40	9
20	6
5	7
18	53
16	12
32	45
18	28
39	7
21	50
44	33
49	41
1	19
44	2
49	42
34	8
3	28
0	10
25	12
0	18
31	10
24	17
45	17
19	20
1	4
6	37
10	0
4	24
13	54
23	44
16	10
27	28
37	15
17	46
36	24
5	18
29	54
47	33
33	27
23	47
25	49
19	46
37	7
28	29
26	34
8	7
5	23
6	43
20	15
26	42
49	40
22	29
16	37
40	45
29	24
6	4
26	1
18	49
48	40
23	21
14	29
32	15
38	21
22	26
27	18
17	14
26	13
20	56
25	4
4	48
22	48
0	55
37	2
27	9
31	56
39	45
8	19
46	52
21	33
41	23
45	11
11	5
43	4
10	37
9	43
7	55
38	3
31	35
28	7
39	50
19	4
5	52
25	37
39	29
27	11
35	56
4	37
45	26
24	6
42	13
27	45
47	7
37	56
3	5
14	48
25	51
5	4
18	40
33	3
6	1
48	18
27	7
35	51
6	42
6	24
16	51
33	33
32	53
49	33
3	55
23	9
44	11
22	18
42	1
27	40
6	51
49	3
2	32
14	13
0	7
20	39
48	33
18	13
44	44
47	17
9	44
40	12
31	44
20	43
9	32
47	16
37	46
1	36
6	30
20	29
14	40
9	18
46	32
11	29
36	10
34	5
16	27
36	46
32	11
46	8
6	20
43	56
49	14
17	44
22	53
37	35
44	38
14	10
34	38
12	35
48	24
31	50
40	2
5	49
36	56
24	40
18	7
1	35
43	40
31	51
41	53
12	17
8	11
26	17
24	34
26	35
20	51
0	48
36	36
44	14
16	28
45	4
22	27
9	0
42	43
10	16
18	26
12	40
29	52
2	42
27	32
42	41
39	1
27	26
2	9
22	55
21	10
3	21
11	20
48	17
42	53
13	1
6	27
32	49
47	24
6	28
8	37
4	15
35	36
29	1
21	0
12	41
4	21
19	45
7	17
21	28
24	2
7	11
19	26
8	17
32	21
34	28
36	25
30	30
0	13
25	56
8	42
5	46
3	34
2	38
44	29
31	7
7	46
25	39
11	19
3	7
20	0
36	19
48	45
6	25
37	49
20	13
42	10
27	23
2	10
21	55
10	1
49	56
49	24
21	25
19	33
21	3
49	35
13	14
13	53
35	54
40	0
2	3
13	40
8	27
13	5
45	27
30	25
38	46
31	22
17	3
35	17
32	23
39	38
48	37
27	5
0	50
47	29
30	5
29	49
34	23
13	27
16	31
31	25
13	2
45	51
8	13
49	55
13	22
40	44
28	30
48	4
47	1
46	6
9	56
33	18
41	20
45	41
4	41
48	0
0	33
28	55
29	55
9	21
42	25
31	21
14	6
26	39
28	11
7	15
3	29
35	23
15	54
30	24
30	52
6	17
8	1
40	56
47	51
18	51
2	26
11	3
5	8
46	25
4	29
4	45
43	42
27	12
1	43
36	32
13	36
35	6
26	20
20	53
44	21
18	54
36	45
39	22
20	33
32	37
42	50
24	47
11	31
19	22
44	6
11	47
0	36
35	37
32	9
26	50
20	42
42	48
29	26
30	55
14	42
39	5
44	52
7	52
26	27
43	35
47	47
40	25
32	32
43	36
38	7
4	5
20	25
46	43
15	6
25	1
17	45
16	34
49	29
33	37
2	30
9	54
20	17
28	47
25	48
11	18
33	1
2	41
19	9
0	45
46	18
14	27
46	39
32	34
18	42
29	23
43	18
14	9
10	19
36	51
19	0
47	23
13	24
3	26
8	28
8	24
8	18
33	13
15	25
49	20
4	33
16	18
4	31
6	53
9	29
30	43
2	2
39	40
23	43
47	39
49	31
1	22
21	27
22	23
42	0
16	25
5	21
31	29
4	10
47	22
12	47
39	3
26	25
22	49
14	36
44	25
20	31
37	10
14	35
4	52
38	38
15	39
49	47
42	38
14	21
39	17
13	0
29	7
8	9
47	48
10	45
33	9
36	39
38	42
36	31
13	31
6	32
47	4
43	48
5	30
45	16
42	44
16	17
27	42
35	50
21	39
13	33
11	53
3	20
38	16
42	33
16	44
12	27
15	38
11	43
44	0
4	7
17	32
35	15
3	23
25	46
16	56
41	42
8	12
18	18
24	55
9	31
31	8
10	55
10	27
30	56
7	39
32	14
38	39
27	38
5	13
31	15
33	43
9	22
8	51
32	19
42	39
25	27
8	8
36	4
30	16
40	27
7	44
1	15
9	16
0	47
26	56
34	46
45	43
25	22
17	22
39	37
32	33
29	29
38	40
25	53
39	46
38	52
41	17
27	35
24	32
41	27
23	10
40	1
24	26
19	14
5	29
47	6
4	6
2	47
32	29
0	29
21	12
47	9
16	45
26	7
31	26
41	6
42	20
10	14
19	15
16	36
7	56
38	37
12	32
26	2
49	16
39	11
16	47
17	11
12	24
16	13
36	47
28	1
22	46
39	27
39	35
35	26
27	33
14	16
5	24
40	11
21	9
37	18
48	28
6	15
11	45
37	8
48	50
30	26
10	24
37	33
25	8
36	3
46	23
11	40
48	11
47	25
28	6
3	31
25	3
11	52
1	54
42	37
27	27
31	36
34	0
15	12
14	49
12	51
2	25
1	27
32	7
47	40
13	51
48	42
7	33
44	28
30	2
1	40
33	21
49	49
14	0
37	47
23	35
18	14
38	19
43	51
31	11
24	7
41	8
37	22
23	8
13	49
35	43
19	34
38	13
21	16
34	21
32	24
26	18
17	10
48	7
36	33
2	44
18	38
47	56
28	2
41	22
26	4
7	26
30	46
38	29
0	42
26	55
48	20
39	10
33	6
43	41
2	8
46	30
0	5
23	19
14	17
0	8
19	25
20	10
40	34
17	53
46	5
46	31
46	7
1	55
5	15
14	3
47	19
41	56
29	5
40	52
15	35
38	55
30	22
32	30
1	45
8	55
41	24
43	50
48	15
2	48
19	5
23	16
12	0
0	16
35	10
17	29
1	20
28	49
16	9
37	0
30	49
19	56
39	43
27	17
13	43
34	32
3	30
2	55
13	6
12	14
14	51
21	52
25	11
18	30
15	56
38	17
0	49
36	21
1	49
39	18
19	48
15	0
46	45
12	10
7	19
24	39
17	39
43	13
13	37
23	13
48	16
20	11
19	38
25	40
46	26
48	43
29	3
36	16
40	49
1	25
23	40
40	15
34	34
43	17
43	32
19	42
39	49
33	44
18	8
1	38
41	19
14	44
42	30
44	1
36	54
12	26
20	54
4	47
14	30
34	26
9	27
12	9
39	24
38	18
1	31
36	28
36	8
48	6
42	15
1	42
37	29
35	7
35	20
36	7
0	56
27	39
3	4
12	23
24	1
44	36
12	37
34	1
44	31
40	4
5	3
46	19
48	36
37	4
24	0
13	3
46	53
19	28
17	34
49	21
44	5
7	28
23	55
49	52
3	46
25	29
25	31
4	39
34	45
37	31
46	36
39	9
41	5
43	39
44	22
37	14
7	43
13	26
18	22
27	8
48	13
19	19
13	19
2	50
24	54
9	53
12	18
1	37
35	40
33	10
3	38
34	22
10	15
12	44
2	43
15	32
31	20
38	31
49	10
18	17
13	44
44	19
24	27
38	9
24	35
10	38
32	56
1	39
35	52
29	4
40	30
38	10
45	7
29	18
37	53
4	43
10	25
19	50
38	26
23	36
6	41
12	39
47	50
14	53
33	49
22	22
22	0
1	47
4	16
23	11
29	25
25	5
9	4
49	11
39	44
8	10
0	25
48	12
16	42
48	39
13	56
31	46
21	23
33	22
5	43
44	41
19	44
35	31
18	9
46	20
31	0
30	39
40	23
41	31
28	33
44	7
28	45
4	2
22	44
6	13
33	24
19	47
12	3
47	12
8	36
48	1
32	5
41	28
10	6
6	6
3	54
48	26
20	9
18	10
40	42
35	42
4	9
41	32
44	37
1	53
44	18
26	5
26	12
12	5
34	4
5	14
15	37
14	12
18	20
10	48
42	22
45	15
43	30
42	36
17	48
46	2
35	48
28	21
18	33
4	36
22	2
7	31
25	15
29	47
49	48
21	35
13	18
6	19
7	54
2	56
11	13
27	55
21	22
45	30
30	12
24	24
12	55
33	32
17	2
4	40
35	2
9	20
35	16
47	38
21	44
49	12
18	36
28	32
7	25
47	3
45	39
42	6
30	32
33	12
44	54
10	32
13	21
36	11
16	1
1	50
13	55
2	15
8	32
49	43
47	0
7	16
40	36
33	53
26	9
2	27
48	49
6	10
9	41
22	50
14	2
7	37
31	18
15	23
48	29
6	18
5	17
22	4
3	33
43	11
30	7
43	21
11	26
46	12
19	27
23	2
5	55
32	48
11	12
1	12
8	43
40	39
1	10
38	11
5	50
15	11
42	35
3	37
44	17
24	18
35	9
40	48
29	42
27	24
6	7
15	29
0	21
18	31
49	39
38	50
25	17
39	32
6	55
48	21
9	35
49	27
49	19
2	0
45	5
17	12
15	14
18	47
11	37
25	45
32	2
48	34
47	54
36	41
21	46
42	9
10	18
6	23
12	43
11	48
32	55
28	48
29	28
11	10
28	13
0	53
46	42
26	19
30	15
11	4
34	39
39	51
24	37
0	12
22	16
43	28
45	13
43	5
20	26
15	47
40	17
42	23
11	8
28	19
25	10
26	41
2	17
29	6
41	51
26	26
10	44
8	20
11	9
41	7
25	18
33	16
28	9
5	45
31	34
45	34
34	11
26	51
49	26
5	53
19	41
19	37
10	7
42	11
16	20
27	44
15	3
45	2
8	39
11	55
26	54
44	56
27	4
25	7
15	7
43	25
28	36
39	16
33	48
18	23
9	12
28	4
5	27
29	20
6	12
40	31
32	10
29	33
25	23
4	18
18	15
29	41
13	39
10	30
24	36
33	5
