x1	x2
33	45
32	6
32	31
5	1
25	6
4	3
24	52
7	49
23	0
30	47
30	35
30	33
19	36
38	56
13	25
19	39
15	16
23	51
44	8
36	1
32	13
24	8
37	11
42	5
48	19
25	32
18	52
9	36
21	8
44	48
13	20
46	48
42	56
26	38
22	40
43	1
22	17
36	12
12	13
39	52
26	29
40	7
30	27
20	23
1	18
24	50
30	3
30	4
21	47
35	34
48	41
3	2
35	3
49	45
24	23
27	30
32	17
9	55
12	30
15	34
1	34
17	41
20	7
0	0
27	19
14	32
21	54
8	47
17	51
39	47
38	51
28	44
29	27
37	55
9	9
9	1
35	32
34	20
15	44
43	44
35	30
1	41
38	49
22	51
36	53
27	43
31	27
19	24
21	26
22	21
7	51
5	32
8	4
24	25
14	15
34	40
46	16
2	31
5	36
46	29
16	15
22	54
0	14
4	17
4	30
44	42
8	41
46	46
7	48
26	46
0	17
2	6
23	27
12	20
14	37
47	13
41	1
45	1
12	52
17	42
19	49
20	1
45	28
4	13
9	23
33	2
14	39
9	52
37	21
22	20
8	16
0	28
10	17
18	43
49	36
19	29
9	33
32	40
26	53
31	37
49	4
9	6
44	4
48	44
20	27
1	2
16	49
12	7
0	43
49	54
11	49
20	55
43	19
38	43
29	13
10	36
40	16
27	2
36	0
9	26
41	12
15	26
36	55
43	38
42	24
4	12
44	47
31	13
1	56
34	36
13	11
9	45
41	13
38	27
22	14
13	35
33	0
10	23
17	15
29	16
1	30
12	49
25	55
42	2
29	11
15	53
36	2
44	3
10	13
8	50
38	20
21	14
34	29
10	33
47	11
35	18
20	14
1	28
15	13
38	33
9	40
42	14
36	30
23	52
27	3
31	52
14	18
0	1
13	16
47	53
28	51
31	32
42	27
41	38
14	5
38	25
20	44
33	39
2	23
16	2
39	36
31	40
39	4
45	6
27	48
29	37
6	54
4	35
48	23
21	24
3	10
35	12
32	35
33	31
2	33
14	26
45	20
12	33
10	10
7	30
17	5
45	12
27	49
17	21
12	36
10	47
47	27
28	35
4	28
0	27
24	9
38	47
33	11
7	21
40	55
19	16
11	30
45	50
25	54
21	7
30	23
17	19
6	50
46	17
15	8
46	28
10	4
17	47
41	33
6	47
46	41
2	37
19	13
16	43
4	32
26	37
19	32
43	6
36	49
20	37
30	20
49	28
28	10
28	34
21	48
42	40
24	53
23	1
37	36
34	25
17	28
7	34
4	26
42	34
17	56
34	50
21	37
6	26
15	42
35	39
6	56
7	3
15	31
1	14
38	2
10	2
33	34
2	36
11	54
24	12
35	5
40	47
27	25
28	24
43	31
17	18
20	12
19	52
31	16
30	0
35	1
41	54
46	22
31	28
34	35
14	43
46	1
7	1
3	1
17	26
1	33
47	21
30	10
49	1
27	29
4	20
22	30
13	29
9	48
1	8
6	40
33	42
28	40
29	35
35	14
0	54
24	28
10	40
44	45
7	18
15	2
30	37
9	3
9	51
36	34
18	37
23	56
49	0
42	54
34	10
8	53
34	15
7	32
40	54
2	35
19	7
46	37
8	15
4	49
39	41
36	6
22	9
16	29
13	48
8	6
42	42
35	27
3	18
10	53
8	38
21	19
47	46
48	48
17	38
38	23
28	53
0	4
5	9
5	28
23	25
4	14
6	34
23	30
10	29
10	54
6	21
29	30
5	39
31	9
3	14
14	14
30	34
40	46
45	35
41	49
20	46
19	17
47	52
16	39
28	3
2	7
25	13
2	52
33	38
24	56
16	3
20	32
13	42
44	55
38	6
10	41
25	20
9	14
37	48
30	41
41	50
43	7
27	1
22	7
9	39
5	5
10	43
32	54
43	2
43	10
23	17
4	46
36	50
15	51
12	53
24	22
3	53
20	18
19	6
49	44
42	17
7	10
9	17
35	28
38	14
8	48
23	5
33	23
9	11
23	41
0	9
36	27
41	4
16	11
16	41
21	4
7	29
41	0
24	14
45	29
22	25
2	11
36	22
22	33
30	1
6	39
20	35
29	48
24	44
8	52
37	25
3	9
47	55
44	51
41	44
35	25
39	33
2	20
36	29
15	18
44	20
7	40
37	12
28	12
15	10
35	11
38	22
30	51
37	16
19	40
5	6
35	46
1	7
34	7
14	19
40	5
49	37
17	13
